"cod_prod"|"cod_parent"|"nombre"|"present"|"cont-rec"|"tipo_cont"|"dosis"|"cant_comp"|"cod_isp"|"vigencia"|"droga"|"grupo"|"temp"||||
"27"|"24"||"12 comp."|1|6|1|1|"'NULL'"|1|"(Naratriptán)"||3||||
"28"|"0"|"ABRAXANE"||1|6|0|0|"'NULL'"|1|"(Paclitaxel)"|435|2||||
"29"|"28"||"1 fco-amp"|1|6|105|29|"'NULL'"|1|"(Paclitaxel)"||2||||
"30"|"0"|"ABALEA comp. 50 mg"||1|6|0|0|"'NULL'"|1|"(Benznidazol)"|0|2||||
"31"|"30"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Benznidazol)"||2||||
"32"|"0"|"ABALEA comp. 100 mg"||1|6|0|0|"'NULL'"|1|"(Benznidazol)"|0|2||||
"33"|"32"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Benznidazol)"||2||||
"34"|"0"|"ABRETIA 25"||1|6|0|0|"'NULL'"|1|"(Atomoxetina)"|70|2||||
"35"|"34"||"28 cáps"|1|6|17|1|"'NULL'"|1|"(Atomoxetina)"||2||||
"36"|"0"|"ABATERO  250 mg"||1|6|0|0|"'NULL'"|1|"(Abiraterona)"|3|1||||
"37"|"36"||"120 comp."|1|6|1|1|"'NULL'"|1|"(Abiraterona)"||1||||
"38"|"0"|"ABETAL  40 mg"||1|6|0|0|"'NULL'"|1|"(Eletriptan)"|176|2||||
"39"|"38"||"6 comp."|1|6|1|1|"'NULL'"|1|"(Eletriptán)"||2||||
"40"|"0"|"ABRILAR jarabe"||1|7|0|0|"'NULL'"|1|"(Hedera Helix)"|277|1||||
"41"|"40"||"100 ml"|1|7|35|6|"'NULL'"|1|"(Hedera Helix)"||1||||
"42"|"0"|"AC FORTE jarabe"||1|5|0|0|"'NULL'"|1|"(Codeína Fosfato//Pseudoefedrina//Clorfenamina)"|0|1||||
"43"|"42"||"120 ml"|1|5|35|6|"'NULL'"|1|"(Codeína Fosfato//Pseudoefedrina//Clorfenamina)"||1||||
"44"|"0"|"AC INFANTIL jarabe"||1|5|0|0|"'NULL'"|1|"(Codeína Fosfato//Pseudoefedrina//Clorfenamina)"|0|1||||
"45"|"44"||"120 ml"|1|5|35|6|"'NULL'"|1|"(Codeína Fosfato//Pseudoefedrina//Clorfenamina)"||1||||
"46"|"0"|"ACAMOL INFANTIL suposit."||1|7|0|0|"'NULL'"|1|"(Paracetamol)"|439|1||||
"47"|"46"||"6 supositorios"|1|7|67|1|"'NULL'"|1|"(Paracetamol)"||1||||
"48"|"0"|"ACANTEX"||1|4|0|0|"'NULL'"|1|"(Ceftriaxona)"|136|2||||
"49"|"48"||"I.M.1 fco-amp  "|1|4|105|29|"'NULL'"|1|"(Ceftriaxona)"||2||||
"50"|"48"||"I.V. 1 fco-amp"|1|4|105|29|"'NULL'"|1|"(Ceftriaxona)"||2||||
"51"|"0"|"ACCU-CHEK"||1|7|0|0|"'NULL'"|1|"(Cintas Y Aparatos de Diagnóstico))"|0|6||||
"52"|"51"||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"53"|"51"||"50 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"54"|"51"||"kit completo"|1|7|169|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"55"|"51"||"102 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"56"|"51"||"50 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"57"|"51"||"200 lancetas"|1|7|171|1|"'NULL'"|1|"(Cintas Y Aparatos De Diagnóstico))"||6||||
"58"|"0"|"ACCUPRIL 10"||1|6|0|0|"'NULL'"|1|"(Quinapril)"|0|2||||
"59"|"58"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril)"||2||||
"60"|"0"|"ACCUPRIL 20"||1|6|0|0|"'NULL'"|1|"(Quinapril)"|0|2||||
"61"|"60"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril)"||2||||
"62"|"0"|"ACCURETIC"||1|6|0|0|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"|0|1||||
"63"|"62"||"7 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1||||
"64"|"62"||"14 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1||||
"65"|"62"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Quinapril//Hidroclorotiazida)"||1||||
"66"|"0"|"ACCUTREND COLESTEROL"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6||||
"67"|"66"||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6||||
"68"|"0"|"ACCUTREND GLICEMIA"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6||||
"69"|"68"||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6||||
"70"|"0"|"ACCUTREND LACTATO"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6||||
"71"|"70"||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6||||
"72"|"0"|"ACCUTREND PLUS"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6||||
"73"|"72"||"1 unid"|1|7|166|1|"'NULL'"|1|"(Cintas)"||6||||
"74"|"0"|"ACCUTREND TRIGLICERIDOS"||1|7|0|0|"'NULL'"|1|"(Cintas)"|0|6||||
"75"|"74"||"25 cintas"|1|7|169|1|"'NULL'"|1|"(Cintas)"||6||||
"76"|"0"|"ACEBRON 4 mg"||1|6|0|0|"'NULL'"|1|"(Acenocumarol)"|6|1||||
"77"|"76"||"20 comp."|1|6|1|1|"'NULL'"|1|"(Acenocumarol)"||1||||
"78"|"0"|"ACECNOU  sol.oral  3 Gr en sobres"||1|6|0|0|"'NULL'"|1|"(Fosfomicina)"|247|2||||
"79"|"78"||"1 sobre"|1|6|75|48|"'NULL'"|1|"(Fosfomicina)"||2||||
"80"|"0"|"ACEITE DE RICINO"||1|6|0|0|"'NULL'"|1|"(Aceite de Ricino)"|0|6||||
"81"|"80"||"30 ml"|1|6|35|6|"'NULL'"|1|"(Aceite De Ricino)"||6||||
"82"|"0"|"ACEMUK 100 mg/5 mL  jarabe"||1|6|0|0|"'NULL'"|1|"(N-Acetilcisteína )"|398|2||||
"83"|"82"||"100 ml"|1|6|35|6|"'NULL'"|1|"(N-Acetilcisteína )"||2||||
"84"|"0"|"ACEPRAN FT 0.5 mg. Bucodispersable"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|2||||
"85"|"84"||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||2||||
"86"|"0"|"ACEPRAN FT 2 mg. Bucodispersable"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|1||||
"87"|"86"||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||1||||
"88"|"0"|"ACEPRAN 2 mg"||1|1|0|0|"'NULL'"|1|"(Clonazepam)"|170|2||||
"89"|"88"||"30 comp."|1|1|1|1|"'NULL'"|1|"(Clonazepam)"||2||||
"90"|"0"|"ACEPRAN gotas 2"|"5mg/ml"||1|1|0|0|"'NULL'"|"1"|"(Clonazepam)"|170|2|||
"91"|"90"||"10 ml"|1|1|55|6|"'NULL'"|1|"(Clonazepam)"||2||||
"92"|"0"|"ACERDIL 5 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2||||
"93"|"92"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2||||
"94"|"0"|"ACERDIL 10 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2||||
"95"|"94"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2||||
"96"|"0"|"ACERDIL 20 mg"||1|6|0|0|"'NULL'"|1|"(Lisinopril)"|344|2||||
"97"|"96"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril)"||2||||
"98"|"0"|"ACERDIL D  20/12"|"5"||1|6|0|0|"'NULL'"|"1"|"(Lisinopril//Hidroclorotiazida)"|0|2|||
"99"|"98"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Lisinopril//Hidroclorotiazida)"||2||||
"100"|"0"|"ACETATO DE SODIO 30%"||1|6|0|0|"'NULL'"|1|"(Sodio Acetato)"|0|6||||
"101"|"100"||"5 amp de 10 mI."|1|6|105|29|"'NULL'"|1|"(Sodio Acetato)"||6||||
"102"|"0"|"ACETAZOLAMIDA 250 mg"||1|6|0|0|"'NULL'"|1|"(Acetazolamida)"|6|1||||
"103"|"102"||"20 comp."|1|6|1|1|"'NULL'"|1|"(Acetazolamida)"||1||||
"104"|"0"|"ACEVIT"||1|6|0|0|"'NULL'"|1|"(Vitaminas A C D)"|570|2||||
"105"|"104"||"30 ml"|1|6|55|6|"'NULL'"|1|"(Vitaminas A C D)"||2||||
"106"|"0"|"ACICLOVIR 200 mg"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|2||||
"107"|"106"||"25 comp."|1|6|1|1|"'NULL'"|1|"(Aciclovir)"||2||||
"108"|"0"|"ACICLOVIR 400"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|2||||
"109"|"108"||"35 comp."|1|6|1|1|"'NULL'"|1|"(Aciclovir)"||2||||
"110"|"0"|"ACICLOVIR 5% crema  "||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1||||
"111"|"110"||"5 gr."|1|6|135|48|"'NULL'"|1|"(Aciclovir)"||1||||
"112"|"110"||"15 gr."|1|6|135|48|"'NULL'"|1|"(Aciclovir)"||1||||
"113"|"0"|"ACICLOVIR  infusión I.V. 250/10ml"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1||||
"114"|"113"||"5 amp"|1|6|90|17|"'NULL'"|1|"(Aciclovir)"||1||||
"115"|"0"|"ACICLOVIR  infusión I.V. 500/20ml"||1|6|0|0|"'NULL'"|1|"(Aciclovir)"|7|1||||
"116"|"115"||"6 amp"|1|6|90|17|"'NULL'"|1|"(Aciclovir)"||1||||
"117"|"0"|"ACIDO ACETILSALICILICO 500 mg."||1|7|0|0|"'NULL'"|1|"(Ac Acetil Salicílico)"|4|2||||
"118"|"117"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salicílico)"||2||||
"119"|"117"||"40 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salicílico)"||2||||
"120"|"0"|"ACIDO ACETILSALICILICO 100 mg"||1|7|0|0|"'NULL'"|1|"(Ac Acetil Salicílico)"|4|1||||
"121"|"120"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salicílico)"||1||||
"122"|"120"||"40 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salicílico)"||1||||
"123"|"0"|"ACIDO ASCORBICO 100 mg"||1|7|0|0|"'NULL'"|1|"(Ac Ascorbico)"|0|1||||
"124"|"123"||"100 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1||||
"125"|"0"|"ACIDO ASCORBICO 1000 mg"||1|7|0|0|"'NULL'"|1|"(Ac Ascorbico)"|0|1||||
"126"|"125"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1||||
"127"|"125"||"30 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1||||
"128"|"125"||"60 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1||||
"129"|"0"|"ACIDO DEHIDROCOLICO 250 mg"||1|7|0|0|"'NULL'"|1|"(Ac Dehidrocolico)"|0|6||||
"130"|"129"||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ac Dehidrocolico)"||6||||
"131"|"0"|"ACIDO FOLICO 1 mg"||1|6|0|0|"'NULL'"|1|"(Acido Fólico)"|17|2||||
"132"|"131"||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Folico)"||2||||
"133"|"0"|"ACIDO FOLINICO 50 mg/5 ml sol.inyect."||1|6|0|0|"'NULL'"|1|"(Acido Folinico)"|0|4||||
"134"|"133"||"10 amp"|1|6|90|17|"'NULL'"|1|"(Acido Folinico)"||4||||
"135"|"0"|"ACIDO MEFENAMICO 500 mg"||1|6|0|0|"'NULL'"|1|"(Acido Mefenamico)"|25|2||||
"136"|"135"||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Mefenamico)"||2||||
"137"|"0"|"ÁCIDO ZOLEDRÓNICO perfusión 4 mg/ 5 mL"||1|6|0|0|"'NULL'"|1|"(Acido Zolendrónico)"|30|1||||
"138"|"137"||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Acido Zolendrónico)"||1||||
"139"|"0"|"ACIFIN comp. masticables"||1|7|0|0|"'NULL'"|1|"(Magaldrato//Simeticona )"|354|1||||
"140"|"139"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Magaldrato//Simeticona )"||1||||
"141"|"0"|"ACLASTA 5 mg/100 mL"||1|6|0|0|"'NULL'"|1|"(Acido Zolendrónico)"|30|1||||
"142"|"141"||"1 vial"|1|6|105|11|"'NULL'"|1|"(Acido Zoledrónico)"||1||||
"143"|"0"|"ACNERAL  10 mg cáps. blandas"||1|4|0|0|"'NULL'"|1|"(Isotretinoína)"|313|1||||
"144"|"143"||"30 cáps"|1|4|17|1|"'NULL'"|1|"(Isotretinoína)"||1||||
"145"|"0"|"ACNOTIN 10 mg"||1|4|0|0|"'NULL'"|1|"(Isotretinoína)"|313|1||||
"146"|"145"||"30 cáps"|1|4|17|1|"'NULL'"|1|"(Isotretinoína)"||1||||
"147"|"0"|"ACNOTIN 20 mg"||1|4|0|0|"'NULL'"|1|"(Isotretinoína)"|313|1||||
"148"|"147"||"30 cáps"|1|4|17|1|"'NULL'"|1|"(Isotretinoína)"||1||||
"149"|"0"|"ACOTOL"||1|6|0|0|"'NULL'"|1|"(Dienogest//Etinilestradiol)"|149|2||||
"150"|"149"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Dienogest//Etinilestradiol)"||2||||
"151"|"0"|"ACOTOL SP"||1|6|0|0|"'NULL'"|1|"(Dienogest//Etinilestradiol)"|149|1||||
"152"|"151"||"26 comp."|1|6|1|1|"'NULL'"|1|"(Dienogest//Etinilestradiol)"||1||||
"153"|"0"|"ACTAN"||1|6|0|0|"'NULL'"|1|"(Fluoxetina)"|239|3||||
"154"|"153"||"30 cáps"|1|6|17|1|"'NULL'"|1|"(Fluoxetina)"||3||||
"155"|"153"||"60 cáps"|1|6|17|1|"'NULL'"|1|"(Fluoxetina)"||3||||
"156"|"0"|"ACTAN CD"||1|6|0|0|"'NULL'"|1|"(Fluoxetina)"|239|1||||
"157"|"156"||"30 comp."|1|6|1|1|"'NULL'"|1|"(Fluoxetina)"||1||||
"158"|"0"|"ACTEMRA 80 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5||||
"159"|"158"||"1 vial 4 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5||||
"160"|"0"|"ACTEMRA 200 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5||||
"161"|"160"||"1 vial 10 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5||||
"162"|"0"|"ACTEMRA 400 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5||||
"163"|"162"||"1 vial 20 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5||||
"164"|"0"|"ACTEMRA 162 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5||||
"165"|"164"||"Jeringa precargada"|1|6|165|48|"'NULL'"|1|"(Tocilizumab)"||5||||
"166"|"0"|"ACTEBRAL"||1|6|0|0|"'NULL'"|1|"(Acido Gama Amino Butirico//Hematoporfirina//Procaina)"|0|6||||
"167"|"166"||"28 cáps"|1|6|17|1|"'NULL'"|1|"(Acido Gama Amino Butirico//Hematoporfirina//Procaina)"||6||||
"168"|"0"|"ACTIGERON 500 mg"||1|6|0|0|"'NULL'"|1|"(L-Acetilcarnitina Clorhidrato)"|0|1||||
"169"|"168"||"30 comp."|1|6|1|1|"'NULL'"|1|"(L-Acetilcarnitina Clorhidrato)"||1||||
"170"|"0"|"ACTILYSE 20 mg"||1|6|0|0|"'NULL'"|1|"(Alteplasa)"|0|1||||
"171"|"170"||"1 vial"|1|6|105|11|"'NULL'"|1|"(Alteplasa)"||1||||
"172"|"0"|"ACTILYSE 50 mg"||1|6|0|0|"'NULL'"|1|"(Alteplasa)"|0|2||||
"173"|"172"||"1 vial"|1|6|105|11|"'NULL'"|1|"(Alteplasa)"||2||||
"174"|"0"|"ACTISER-T gel transdérmico 1%"||1|6|0|0|"'NULL'"|1|"(Testosterona )"|0|2||||
"175"|"174"||"10 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"176"|"174"||"15 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"177"|"174"||"20 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"178"|"174"||"30 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"179"|"174"||"15 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"180"|"174"||"40 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"181"|"174"||"50 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2||||
"182"|"0"|"ACTIVELLE"||1|6|0|0|"'NULL'"|1|"(Estradiol//Noretisterona)"|0|1||||
"183"|"182"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Estradiol//Noretisterona)"||1||||
"184"|"0"|"ACTIVELLE LOW"||1|6|0|0|"'NULL'"|1|"(Estradiol//Noretisterona)"|0|1||||
"185"|"184"||"28 comp."|1|6|1|1|"'NULL'"|1|"(Estradiol//Noretisterona)"||1||||
"186"|"0"|"ACTRAPID  100 U/mL sol.inyect."||1|6|0|0|"'NULL'"|1|"(Insulina de Acción Rápida)"|0|5||||
"187"|"186"||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Insulina De Acción Rápida)"||5||||
"188"|"0"|"ACULAR 0.5% sol.oftálmica"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|1||||
"189"|"188"||"5 ml"|1|6|142|6|"'NULL'"|1|"(Ketorolaco Trometamol)"||1||||
"190"|"0"|"ACULAR LS  0.4 % sol.oftálmica"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|7||||
"191"|"190"||"5 ml"|1|6|142|6|"'NULL'"|1|"(Ketorolaco Trometamol)"||7||||
"192"|"0"|"ACUODE 50.000 UI sol.oral"||1|6|0|0|"'NULL'"|1|"(Colecalciferol)"|203|2||||
"193"|"192"||"2 sobres de 50.000"|1|6|75|1|"'NULL'"|1|"(Colecalciferol)"||2||||
"194"|"0"|"ACUODE 300.000 UI sol. oral"||1|6|0|0|"'NULL'"|1|"(Colecalciferol)"|203|2||||
"195"|"194"||"3 ml"|1|6|55|6|"'NULL'"|1|"(Colecalciferol)"||2||||
"196"|"0"|"ACUS 500"||1|6|0|0|"'NULL'"|1|"(Meropenem)"|366|2||||
"197"|"196"||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Meropenem)"||2||||
"198"|"0"|"ACUS 1000"||1|6|0|0|"'NULL'"|1|"(Meropenem)"|366|2||||
"199"|"198"||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Meropenem)"||2||||
"200"|"0"|"ADACEL inyect."||1|6|0|0|"'NULL'"|1|"(Vacuna Combinada/ Toxoide Tetánico Y Diftérico Y Comp.. Pertussis )"|0|5||||
"201"|"200"||"1 vial monodosis"|1|6|105|11|"'NULL'"|1|"(Vacuna Combinada/ Toxoide Tetánico Y Diftérico Y Comp.. Pertussis )"||5||||
"202"|"0"|"ADAFIX  20 mg"||1|6|0|0|"'NULL'"|1|"(Tadalafilo)"|518|1||||
"203"|"202"||"2 tab"|1|6|26|1|"'NULL'"|1|"(Tadalafilo)"||1||||
"204"|"0"|"ADAFIX  5 mg"||1|6|0|0|"'NULL'"|1|"(Tadalafilo)"|518|1||||
"205"|"204"||"30 tab"|1|6|26|1|"'NULL'"|1|"(Tadalafilo)"||1||||
"206"|"0"|"ADAPAC gel tópico 0"|"1%"||1|6|0|0|"'NULL'"|"1"|"(Adapaleno)"|32|1|||
"207"|"206"||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1||||
"208"|"0"|"ADAPAC gel tópico 0"|"3%"||1|6|0|0|"'NULL'"|"1"|"(Adapaleno)"|32|1|||
"209"|"208"||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1||||
"210"|"0"|"ADAPALENO gel tópico 0"|"1%"||1|6|0|0|"'NULL'"|"1"|"(Adapaleno)"|32|1|||
"211"|"210"||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1||||
"212"|"0"|"ACTRON  400 mg"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1||||
"213"|"212"||"10 cáps"|1|6|17|1|"'NULL'"|1|"(Ibuprofeno)"||1||||
"214"|"0"|"ACTRON  600 mg"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1||||
"215"|"214"||"10 cáps"|1|6|17|1|"'NULL'"|1|"(Ibuprofeno)"||1||||
"216"|"0"|"ADAX 0.50"||1|1|0|0|"'NULL'"|1|"(Alprazolam)"|42|1||||
"217"|"216"||"30 comp."|1|1|1|1|"'NULL'"|1|"(Alprazolam)"||1||||
"218"|"0"|"ADAX 1"||1|1|0|0|"'NULL'"|1|"(Alprazolam)"|42|1||||
"219"|"218"||"30 comp."|1|1|1|1|"'NULL'"|1|"(Alprazolam)"||1||||
"220"|"0"|"ADASUVE 9"|"1 mg  unidosis"||1|6|0|0|"'NULL'"|"1"|"(Loxapina)"|0|2|||
"221"|"220"||"1 dosis"|1|6|178|6|"'NULL'"|1|"(Loxapina)"||2||||
"222"|"220"||"5 dosis"|1|6|178|6|"'NULL'"|1|"(Loxapina)"||2||||
"223"|"0"|"ADDAVEN sol.perfusión"||1|6|0|0|"'NULL'"|1|"(Cobre Cloruro//Cromo Cloruro//Magnesio Cloruro//Manganeso Cloruro//Potasio Ioduro//Sodio Fluoruro//Sodio Molibdato//Sodio Selenito//Zinc Cloruro)"|0|2||||
"224"|"223"||"1 amp 10 ml"|1|6|192|48|"'NULL'"|1|"(Cobre Cloruro//Cromo Cloruro//Magnesio Cloruro//Manganeso Cloruro//Potasio Ioduro//Sodio Fluoruro//Sodio Molibdato//Sodio Selenito//Zinc Cloruro)"||2||||
"225"|"0"|"ACULAR CMC 0"|"45% sol.oftálmica"||1|6|0|0|"'NULL'"|"1"|"(Ketorolaco Trometamol)"|319|2|||
"226"|"225"||"30 unidosis"|1|6|142|1|"'NULL'"|1|"(Ketorolaco Trometamol)"||2||||
"227"|"0"|"ACTIVA"||1|6|0|0|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"|204|1||||
"228"|"227"||"21 grageas"|1|6|9|1|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"||1||||
"229"|"227"||"28 grageas"|1|6|9|1|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"||1||||
"230"|"0"|"ADESNA 500 mg."||1|6|0|0|"'NULL'"|1|"(Acido Mefenamico)"|25|1||||
"231"|"230"||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Mefenamico)"||1||||
"232"|"0"|"ADINE  4 mg/4 mL"||1|6|0|0|"'NULL'"|1|"(Norepinefrina)"|413|1||||
"233"|"232"||"5 amp."|1|6|90|17|"'NULL'"|1|"(Norepinefrina)"||1||||
"234"|"0"|"ADOLEX"||1|7|0|0|"'NULL'"|1|"(Alantoina/Coruro de Acetilpiridinio)"|0|1||||
"235"|"234"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Alantoina/Coruro De Acetilpiridinio)"||1||||
"236"|"0"|"ADOLEX PLUS"||1|7|0|0|"'NULL'"|1|"(Alantoina/Coruro de Acetilpiridinio/Noscapina)"|0|1||||
"237"|"236"||"10 comp."|1|7|1|1|"'NULL'"|1|"(Alantoina/Coruro De Acetilpiridinio/Noscapina)"||1||||
"238"|"0"|"ADIAMIL DUO gel dérmico"||1|6|0|0|"'NULL'"|1|"(Adapaleno//Peroxido de Benzoilo)"|33|2||||
"239"|"238"||"1 unidad"|1|6|135|48|"'NULL'"|1|"(Adapaleno//Peroxido De Benzoilo)"||2||||
