"co_prod"|"cod_parent"|"Nombre"|"presentacion"|"cont_rec"|"tipo_cont"|"dosis"|"cant_comp"|"cod_isp"|"vigencia"|"droga"|"grupo"|"temp"
116|115||"6 amp"|1|6|90|17|"'NULL'"|1|"(Aciclovir)"||1
117|0|"ACIDO ACETILSALICILICO 500 mg."||1|7|0|0|"'NULL'"|1|"(Ac Acetil Salic�lico)"|4|2
118|117||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salic�lico)"||2
119|117||"40 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salic�lico)"||2
120|0|"ACIDO ACETILSALICILICO 100 mg"||1|7|0|0|"'NULL'"|1|"(Ac Acetil Salic�lico)"|4|1
121|120||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salic�lico)"||1
122|120||"40 comp."|1|7|1|1|"'NULL'"|1|"(Ac Acetil Salic�lico)"||1
123|0|"ACIDO ASCORBICO 100 mg"||1|7|0|0|"'NULL'"|1|"(Ac Ascorbico)"|0|1
124|123||"100 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1
125|0|"ACIDO ASCORBICO 1000 mg"||1|7|0|0|"'NULL'"|1|"(Ac Ascorbico)"|0|1
126|125||"10 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1
127|125||"30 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1
128|125||"60 comp."|1|7|1|1|"'NULL'"|1|"(Ac Ascorbico)"||1
129|0|"ACIDO DEHIDROCOLICO 250 mg"||1|7|0|0|"'NULL'"|1|"(Ac Dehidrocolico)"|0|6
130|129||"20 comp."|1|6|1|1|"'NULL'"|1|"(Ac Dehidrocolico)"||6
131|0|"ACIDO FOLICO 1 mg"||1|6|0|0|"'NULL'"|1|"(Acido F�lico)"|17|2
132|131||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Folico)"||2
133|0|"ACIDO FOLINICO 50 mg/5 ml sol.inyect."||1|6|0|0|"'NULL'"|1|"(Acido Folinico)"|0|4
134|133||"10 amp"|1|6|90|17|"'NULL'"|1|"(Acido Folinico)"||4
135|0|"ACIDO MEFENAMICO 500 mg"||1|6|0|0|"'NULL'"|1|"(Acido Mefenamico)"|25|2
136|135||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Mefenamico)"||2
137|0|"�CIDO ZOLEDR�NICO perfusi�n 4 mg/ 5 mL"||1|6|0|0|"'NULL'"|1|"(Acido Zolendr�nico)"|30|1
138|137||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Acido Zolendr�nico)"||1
139|0|"ACIFIN comp. masticables"||1|7|0|0|"'NULL'"|1|"(Magaldrato//Simeticona )"|354|1
140|139||"10 comp."|1|7|1|1|"'NULL'"|1|"(Magaldrato//Simeticona )"||1
141|0|"ACLASTA 5 mg/100 mL"||1|6|0|0|"'NULL'"|1|"(Acido Zolendr�nico)"|30|1
142|141||"1 vial"|1|6|105|11|"'NULL'"|1|"(Acido Zoledr�nico)"||1
143|0|"ACNERAL �10 mg c�ps. blandas"||1|4|0|0|"'NULL'"|1|"(Isotretino�na)"|313|1
144|143||"30 c�ps"|1|4|17|1|"'NULL'"|1|"(Isotretino�na)"||1
145|0|"ACNOTIN 10 mg"||1|4|0|0|"'NULL'"|1|"(Isotretino�na)"|313|1
146|145||"30 c�ps"|1|4|17|1|"'NULL'"|1|"(Isotretino�na)"||1
147|0|"ACNOTIN 20 mg"||1|4|0|0|"'NULL'"|1|"(Isotretino�na)"|313|1
148|147||"30 c�ps"|1|4|17|1|"'NULL'"|1|"(Isotretino�na)"||1
149|0|"ACOTOL"||1|6|0|0|"'NULL'"|1|"(Dienogest//Etinilestradiol)"|149|2
150|149||"28 comp."|1|6|1|1|"'NULL'"|1|"(Dienogest//Etinilestradiol)"||2
151|0|"ACOTOL SP"||1|6|0|0|"'NULL'"|1|"(Dienogest//Etinilestradiol)"|149|1
152|151||"26 comp."|1|6|1|1|"'NULL'"|1|"(Dienogest//Etinilestradiol)"||1
153|0|"ACTAN"||1|6|0|0|"'NULL'"|1|"(Fluoxetina)"|239|3
154|153||"30 c�ps"|1|6|17|1|"'NULL'"|1|"(Fluoxetina)"||3
155|153||"60 c�ps"|1|6|17|1|"'NULL'"|1|"(Fluoxetina)"||3
156|0|"ACTAN CD"||1|6|0|0|"'NULL'"|1|"(Fluoxetina)"|239|1
157|156||"30 comp."|1|6|1|1|"'NULL'"|1|"(Fluoxetina)"||1
158|0|"ACTEMRA 80 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5
159|158||"1 vial 4 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5
160|0|"ACTEMRA 200 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5
161|160||"1 vial 10 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5
162|0|"ACTEMRA 400 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5
163|162||"1 vial 20 ml"|1|6|105|11|"'NULL'"|1|"(Tocilizumab)"||5
164|0|"ACTEMRA 162 mg"||1|6|0|0|"'NULL'"|1|"(Tocilizumab)"|0|5
165|164||"Jeringa precargada"|1|6|165|48|"'NULL'"|1|"(Tocilizumab)"||5
166|0|"ACTEBRAL"||1|6|0|0|"'NULL'"|1|"(Acido Gama Amino Butirico//Hematoporfirina//Procaina)"|0|6
167|166||"28 c�ps"|1|6|17|1|"'NULL'"|1|"(Acido Gama Amino Butirico//Hematoporfirina//Procaina)"||6
168|0|"ACTIGERON 500 mg"||1|6|0|0|"'NULL'"|1|"(L-Acetilcarnitina Clorhidrato)"|0|1
169|168||"30 comp."|1|6|1|1|"'NULL'"|1|"(L-Acetilcarnitina Clorhidrato)"||1
170|0|"ACTILYSE 20 mg"||1|6|0|0|"'NULL'"|1|"(Alteplasa)"|0|1
171|170||"1 vial"|1|6|105|11|"'NULL'"|1|"(Alteplasa)"||1
172|0|"ACTILYSE 50 mg"||1|6|0|0|"'NULL'"|1|"(Alteplasa)"|0|2
173|172||"1 vial"|1|6|105|11|"'NULL'"|1|"(Alteplasa)"||2
174|0|"ACTISER-T gel transd�rmico 1%"||1|6|0|0|"'NULL'"|1|"(Testosterona )"|0|2
175|174||"10 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
176|174||"15 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
177|174||"20 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
178|174||"30 gr"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
179|174||"15 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
180|174||"40 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
181|174||"50 sachets unitarios"|1|6|135|1|"'NULL'"|1|"(Testosterona )"||2
182|0|"ACTIVELLE"||1|6|0|0|"'NULL'"|1|"(Estradiol//Noretisterona)"|0|1
183|182||"28 comp."|1|6|1|1|"'NULL'"|1|"(Estradiol//Noretisterona)"||1
184|0|"ACTIVELLE LOW"||1|6|0|0|"'NULL'"|1|"(Estradiol//Noretisterona)"|0|1
185|184||"28 comp."|1|6|1|1|"'NULL'"|1|"(Estradiol//Noretisterona)"||1
186|0|"ACTRAPID �100 U/mL sol.inyect."||1|6|0|0|"'NULL'"|1|"(Insulina de Acci�n R�pida)"|0|5
187|186||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Insulina De Acci�n R�pida)"||5
188|0|"ACULAR 0.5% sol.oft�lmica"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|1
189|188||"5 ml"|1|6|142|6|"'NULL'"|1|"(Ketorolaco Trometamol)"||1
190|0|"ACULAR LS �0.4 % sol.oft�lmica"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|7
191|190||"5 ml"|1|6|142|6|"'NULL'"|1|"(Ketorolaco Trometamol)"||7
192|0|"ACUODE 50.000 UI sol.oral"||1|6|0|0|"'NULL'"|1|"(Colecalciferol)"|203|2
193|192||"2 sobres de 50.000"|1|6|75|1|"'NULL'"|1|"(Colecalciferol)"||2
194|0|"ACUODE 300.000 UI sol. oral"||1|6|0|0|"'NULL'"|1|"(Colecalciferol)"|203|2
195|194||"3 ml"|1|6|55|6|"'NULL'"|1|"(Colecalciferol)"||2
196|0|"ACUS 500"||1|6|0|0|"'NULL'"|1|"(Meropenem)"|366|2
197|196||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Meropenem)"||2
198|0|"ACUS 1000"||1|6|0|0|"'NULL'"|1|"(Meropenem)"|366|2
199|198||"1 fco amp"|1|6|105|29|"'NULL'"|1|"(Meropenem)"||2
200|0|"ADACEL inyect."||1|6|0|0|"'NULL'"|1|"(Vacuna Combinada/ Toxoide Tet�nico Y Dift�rico Y Comp.. Pertussis )"|0|5
201|200||"1 vial monodosis"|1|6|105|11|"'NULL'"|1|"(Vacuna Combinada/ Toxoide Tet�nico Y Dift�rico Y Comp.. Pertussis )"||5
202|0|"ADAFIX �20 mg"||1|6|0|0|"'NULL'"|1|"(Tadalafilo)"|518|1
203|202||"2 tab"|1|6|26|1|"'NULL'"|1|"(Tadalafilo)"||1
204|0|"ADAFIX �5 mg"||1|6|0|0|"'NULL'"|1|"(Tadalafilo)"|518|1
205|204||"30 tab"|1|6|26|1|"'NULL'"|1|"(Tadalafilo)"||1
206|0|"ADAPAC gel t�pico 0,1%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|1
207|206||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1
208|0|"ADAPAC gel t�pico 0,3%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|1
209|208||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1
210|0|"ADAPALENO gel t�pico 0,1%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|1
211|210||"30 gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1
212|0|"ACTRON �400 mg"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1
213|212||"10 c�ps"|1|6|17|1|"'NULL'"|1|"(Ibuprofeno)"||1
214|0|"ACTRON �600 mg"||1|6|0|0|"'NULL'"|1|"(Ibuprofeno)"|293|1
215|214||"10 c�ps"|1|6|17|1|"'NULL'"|1|"(Ibuprofeno)"||1
216|0|"ADAX 0.50"||1|1|0|0|"'NULL'"|1|"(Alprazolam)"|42|1
217|216||"30 comp."|1|1|1|1|"'NULL'"|1|"(Alprazolam)"||1
218|0|"ADAX 1"||1|1|0|0|"'NULL'"|1|"(Alprazolam)"|42|1
219|218||"30 comp."|1|1|1|1|"'NULL'"|1|"(Alprazolam)"||1
220|0|"ADASUVE 9,1 mg �unidosis"||1|6|0|0|"'NULL'"|1|"(Loxapina)"|0|2
221|220||"1 dosis"|1|6|178|6|"'NULL'"|1|"(Loxapina)"||2
222|220||"5 dosis"|1|6|178|6|"'NULL'"|1|"(Loxapina)"||2
223|0|"ADDAVEN sol.perfusi�n"||1|6|0|0|"'NULL'"|1|"(Cobre Cloruro//Cromo Cloruro//Magnesio Cloruro//Manganeso Cloruro//Potasio Ioduro//Sodio Fluoruro//Sodio Molibdato//Sodio Selenito//Zinc Cloruro)"|0|2
224|223||"1 amp 10 ml"|1|6|192|48|"'NULL'"|1|"(Cobre Cloruro//Cromo Cloruro//Magnesio Cloruro//Manganeso Cloruro//Potasio Ioduro//Sodio Fluoruro//Sodio Molibdato//Sodio Selenito//Zinc Cloruro)"||2
225|0|"ACULAR CMC 0,45% sol.oft�lmica"||1|6|0|0|"'NULL'"|1|"(Ketorolaco Trometamol)"|319|2
226|225||"30 unidosis"|1|6|142|1|"'NULL'"|1|"(Ketorolaco Trometamol)"||2
227|0|"ACTIVA"||1|6|0|0|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"|204|1
228|227||"21 grageas"|1|6|9|1|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"||1
229|227||"28 grageas"|1|6|9|1|"'NULL'"|1|"(Etinilestradiol//Levonorgestrel)"||1
230|0|"ADESNA 500 mg."||1|6|0|0|"'NULL'"|1|"(Acido Mefenamico)"|25|1
231|230||"10 comp."|1|6|1|1|"'NULL'"|1|"(Acido Mefenamico)"||1
232|0|"ADINE �4 mg/4 mL"||1|6|0|0|"'NULL'"|1|"(Norepinefrina)"|413|1
233|232||"5 amp."|1|6|90|17|"'NULL'"|1|"(Norepinefrina)"||1
234|0|"ADOLEX"||1|7|0|0|"'NULL'"|1|"(Alantoina/Coruro de Acetilpiridinio)"|0|1
235|234||"10 comp."|1|7|1|1|"'NULL'"|1|"(Alantoina/Coruro De Acetilpiridinio)"||1
236|0|"ADOLEX PLUS"||1|7|0|0|"'NULL'"|1|"(Alantoina/Coruro de Acetilpiridinio/Noscapina)"|0|1
237|236||"10 comp."|1|7|1|1|"'NULL'"|1|"(Alantoina/Coruro De Acetilpiridinio/Noscapina)"||1
238|0|"ADIAMIL DUO gel d�rmico"||1|6|0|0|"'NULL'"|1|"(Adapaleno//Peroxido de Benzoilo)"|33|2
239|238||"1 unidad"|1|6|135|48|"'NULL'"|1|"(Adapaleno//Peroxido De Benzoilo)"||2
240|0|"ADIAMIL crema d�rmica 0.1%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|2
241|240||"1 unidad"|1|6|135|48|"'NULL'"|1|"(Adapaleno)"||2
242|0|"ADIAMIL gel d�rmico 0,1%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|2
243|242||"1 unidad"|1|6|135|48|"'NULL'"|1|"(Adapaleno)"||2
244|0|"ADIAMIL gel d�rmico 0,3%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|2
245|244||"1 unidad"|1|6|135|48|"'NULL'"|1|"(Adapaleno)"||2
246|0|"ADROXEF 500"||1|4|0|0|"'NULL'"|1|"(Cefadrox�lo)"|130|2
247|246||"14 comp."|1|4|1|1|"'NULL'"|1|"(Cefadrox�lo)"||2
248|0|"ADROXEF 250 jarabe"||1|4|0|0|"'NULL'"|1|"(Cefadrox�lo)"|130|2
249|248||"100 ml"|1|4|35|6|"'NULL'"|1|"(Cefadrox�lo)"||2
250|0|"ADROXEF 500 jarabe"||1|4|0|0|"'NULL'"|1|"(Cefadrox�lo)"|130|2
251|250||"100 ml"|1|4|35|6|"'NULL'"|1|"(Cefadrox�lo)"||2
252|0|"AERIUS comp. recub."||1|6|0|0|"'NULL'"|1|"(Desloratadina)"|128|1
253|252||"30 comp."|1|6|1|1|"'NULL'"|1|"(Desloratadina)"||1
254|0|"ADOPLAN �125 mg"||1|6|0|0|"'NULL'"|1|"(Clonixinio)"|172|1
255|254||"10 comp."|1|6|1|1|"'NULL'"|1|"(Clonixinio)"||1
256|0|"AERIUS 2,5 mg/5 mL �jarabe"||1|6|0|0|"'NULL'"|1|"(Desloratadina)"|128|1
257|256||"120 ml"|1|6|35|6|"'NULL'"|1|"(Desloratadina)"||1
258|0|"ADAPAC gel d�rmico 0,1%"||1|6|0|0|"'NULL'"|1|"(Adapaleno)"|32|1
259|258||"30 Gr"|1|6|135|1|"'NULL'"|1|"(Adapaleno)"||1
260|0|"AEROCHAMBER"||1|7|0|0|"'NULL'"|1|"(Aerocamara Para Inhalaci�n)"|36|6
261|260||"1 unidad"|1|7|0|48|"'NULL'"|1|"(Aerocamara Para Inhalaci�n)"||6
262|0|"AERO-FACIDOSE A.E."||1|7|0|0|"'NULL'"|1|"(Aerocamara Para Inhalaci�n)"|36|6
263|262||"hasta los 5 a�os."|1|7|0|48|"'NULL'"|1|"(Aerocamara Para Inhalaci�n)"||6
264|262||"Adulto/Escolar"|1|7|0|48|"'NULL'"|1|"(Aerocamara Para Inhalaci�n)"||6
265|0|"AEROGASTROL"||1|1|0|0|"'NULL'"|1|"(Clordiazepoxido//Metoclopramida//Simeticona)"|178|1
266|265||"20 c�ps"|1|1|17|1|"'NULL'"|1|"(Clordiazepoxido//Metoclopramida//Simeticona)"||1
